timestamp,open,high,low,close,volume
2026-03-16 13:45:00,81.229,81.412,80.97,81.315,45774.11
2026-03-16 14:00:00,81.314,81.585,81.168,81.299,42207.62
2026-03-16 14:15:00,81.3,81.496,80.837,80.839,43470.11
2026-03-16 14:30:00,80.842,80.871,80.406,80.437,37224.69
2026-03-16 14:45:00,80.443,80.759,80.053,80.701,45498.9
2026-03-16 15:00:00,80.702,80.941,80.432,80.763,51896.11
2026-03-16 15:15:00,80.769,81.095,80.647,80.813,38532.17
2026-03-16 15:30:00,80.827,80.98,80.662,80.662,20961.37
2026-03-16 15:45:00,80.657,80.719,80.223,80.32,25348.4
2026-03-16 16:00:00,80.312,80.757,80.166,80.531,20184.64
2026-03-16 16:15:00,80.529,80.663,79.841,79.88,23889.71
2026-03-16 16:30:00,79.882,80.151,79.5,79.984,118191.04
2026-03-16 16:45:00,79.98,80.434,79.892,80.233,16307.54
2026-03-16 17:00:00,80.241,80.731,80.241,80.682,18969.43
2026-03-16 17:15:00,80.694,80.736,80.419,80.573,16261.03
2026-03-16 17:30:00,80.574,80.624,80.138,80.256,49904.53
2026-03-16 17:45:00,80.265,80.422,80.125,80.241,47552.23
2026-03-16 18:00:00,80.25,80.568,80.145,80.549,11110.13
2026-03-16 18:15:00,80.568,80.971,80.568,80.971,22424.16
2026-03-16 18:30:00,80.938,81.432,80.932,81.309,25767.39
2026-03-16 18:45:00,81.31,81.373,81.051,81.061,20042.5
2026-03-16 19:00:00,81.064,81.406,80.98,81.079,17503.54
2026-03-16 19:15:00,81.06,81.201,80.821,80.862,13507.4
2026-03-16 19:30:00,80.88,81.069,80.773,80.892,50379.49
2026-03-16 19:45:00,80.893,81.062,80.744,80.894,18102.27
2026-03-16 20:00:00,80.901,81.077,80.718,80.951,11370.48
2026-03-16 20:15:00,80.951,80.97,80.867,80.913,3685.2
2026-03-16 20:30:00,80.912,80.918,80.753,80.838,4981.8
2026-03-16 20:45:00,80.83,80.921,80.728,80.796,7130.4
2026-03-16 21:00:00,80.796,80.991,80.766,80.948,28571.62
2026-03-16 21:15:00,80.946,81.004,80.85,80.884,4170.55
2026-03-16 21:30:00,80.883,80.883,80.786,80.825,3916.77
2026-03-16 21:45:00,80.826,80.939,80.826,80.919,2098.37
2026-03-16 22:00:00,80.919,81.206,80.661,80.808,49343.78
2026-03-16 22:15:00,80.793,80.935,80.633,80.779,11190.13
2026-03-16 22:30:00,80.789,81.007,80.69,80.859,12363.6
2026-03-16 22:45:00,80.852,80.937,80.775,80.808,8563.44
2026-03-16 23:00:00,80.807,80.972,80.792,80.928,5853.28
2026-03-16 23:15:00,80.941,81.11,80.912,81.105,4888.78
